n,block,current_odd,tail,odd_factor,exit_v2,next_odd,next_tail,steps_to_next_odd,compressed_steps,local_odd_ratio,cumulative_odd_ratio,local_peak_ratio,cumulative_peak_ratio,local_log_ratio,cumulative_log_ratio,status_after
704623,5,5423743,7,42373,1,46334875,2,15,56,8.542970232918,65.758391366731,34.171880931674,263.033565466923,2.145108749781,4.185987288264,continue
704623,6,46334875,2,11583719,1,52126735,4,5,61,1.125000013489,73.978191174571,4.500000053955,295.912764698285,0.117783047646,4.30377033591,continue
704623,7,52126735,4,3257921,4,16493225,1,12,73,0.316406254871,23.407162411673,10.12500015587,749.029197173524,-1.150728274413,3.153042061498,continue
704623,8,16493225,1,8246613,1,12369919,14,3,76,0.750000015158,17.555372163554,3.000000060631,70.221488654217,-0.287682052241,2.865360009256,continue
704623,9,12369919,14,755,1,1805570797,1,29,105,145.964641886499,2562.463611037392,583.858567545996,10249.854444149567,4.983364413519,7.848724422775,continue
704623,10,1805570797,1,902785399,2,677089049,1,4,109,0.375000000069,960.923854316422,3.000000000554,7687.390834531374,-0.980829252827,6.867895169948,continue
704623,11,677089049,1,338544525,1,507816787,2,3,112,0.750000000369,720.692891092116,3.000000001477,2882.771564368464,-0.287682071959,6.580213097988,continue
704623,12,507816787,2,126954197,2,285646943,5,6,118,0.562500000615,405.389751682815,4.500000004923,3243.118013462518,-0.57536414381,6.004848954179,continue
704623,13,285646943,5,8926467,3,271141435,2,13,131,0.949218752885,384.803554524902,15.187500046167,6156.856872398432,-0.052115998099,5.95273295608,continue
704623,14,271141435,2,67785359,1,305034115,2,5,136,1.125000002305,432.903999727514,4.50000000922,1731.615998910055,0.117783037705,6.070515993785,continue
704623,15,305034115,2,76258529,3,85790845,1,7,143,0.281250000512,121.754250145113,4.500000008196,1948.068002321809,-1.268511323642,4.802004670143,continue
704623,16,85790845,1,42895423,2,32171567,4,4,147,0.375000001457,45.657843981817,3.000000011656,365.262751854538,-0.980829249126,3.821175421017,continue
704623,17,32171567,4,2010723,1,81434281,1,9,156,2.531250063138,115.571420461722,10.125000252552,462.285681846888,0.928713276816,4.749888697833,continue
704623,18,81434281,1,40717141,1,61075711,8,3,159,0.75000000307,86.678565701091,3.00000001228,346.714262804365,-0.287682068359,4.462206629474,continue
704623,19,61075711,8,238577,4,97831481,1,20,179,1.601806665828,138.84230432444,51.257813306504,4442.953738382085,0.47113215836,4.933338787834,continue
704623,20,97831481,1,48915741,1,73373611,2,3,182,0.750000002555,104.13172859813,3.000000010222,416.526914392519,-0.287682069045,4.645656718789,continue
704623,21,73373611,2,18343403,1,82545313,1,5,187,1.125000008518,117.148195559895,4.500000034072,468.592782239581,0.117783043228,4.763439762017,continue
704623,22,82545313,1,41272657,1,61908985,1,3,190,0.750000003029,87.861147024721,3.000000012115,351.444588098884,-0.287682068414,4.475757693604,continue
704623,23,61908985,1,30954493,1,46431739,2,3,193,0.750000004038,65.89586062334,3.000000016153,263.583442493362,-0.287682067068,4.188075626536,continue
704623,24,46431739,2,11607935,1,52235707,2,5,198,1.125000013461,74.132844088257,4.500000053842,296.531376353029,0.117783047621,4.305858674158,continue
704623,25,52235707,2,13058927,1,58765171,2,5,203,1.125000011965,83.399450486288,4.50000004786,333.597801945154,0.117783046292,4.42364172045,continue
704623,26,58765171,2,14691293,2,33055409,1,6,209,0.562500005318,46.912191342037,4.500000042542,375.297530736294,-0.57536413545,3.848277585,continue
704623,27,33055409,1,16527705,1,24791557,1,3,212,0.750000007563,35.184143861327,3.000000030252,140.736575445309,-0.287682062368,3.560595522632,continue
704623,28,24791557,1,12395779,3,4648417,1,5,217,0.187500002521,6.597027062699,3.000000040336,105.55243300318,-1.673976420126,1.886619102506,continue
704623,29,4648417,1,2324209,1,3486313,1,3,220,0.750000053782,4.947770651824,3.000000215127,19.791082607295,-0.287682000743,1.598937101763,continue
704623,30,3486313,1,1743157,1,2614735,4,3,223,0.750000071709,3.710828343667,3.000000286836,14.84331337467,-0.28768197684,1.311255124923,continue
704623,31,2614735,4,163421,2,3309275,2,10,233,1.265625388424,4.696518563828,10.125003107389,37.572148510622,0.235566378215,1.546821503139,continue
704623,32,3309275,2,827319,1,3722935,3,5,238,1.125000188863,5.283584271305,4.500000755452,21.134337085221,0.117783203535,1.664604706673,continue
704623,33,3722935,3,465367,2,3141227,2,8,246,0.843750159484,4.458025071563,6.750001275875,35.664200572505,-0.169898847777,1.494705858897,continue
704623,34,3141227,2,785307,1,3533881,1,5,251,1.125000198967,5.015279092508,4.500000795867,20.06111637003,0.117783212516,1.612489071412,continue
704623,35,3533881,1,1766941,1,2650411,2,3,254,0.750000070744,3.76145967418,3.000000282975,15.045838696722,-0.287681978127,1.324807093286,continue
704623,36,2650411,2,662603,1,2981713,1,5,259,1.125000235812,4.231643020452,4.50000094325,16.926572081808,0.117783245267,1.442590338553,continue
704623,37,2981713,1,1490857,1,2236285,1,3,262,0.750000083844,3.173732620139,3.000000335378,12.694930480555,-0.287681960659,1.154908377894,continue
